Ind;fameff;bloc;PU;rg;n;fam;trait;oid4_09;oid5_10;oid5_11;oid4_12;gel_13;oid2_13;oid_16;oid_17;pgland;date_em;Hfin09;Hfin10;Hfin11;Hfin12;Hdeb14;Hdeb15;Hdeb16;Hdeb17;diam16;an_mort;H09v;H10v;H11v;H12v;H14v;H15v;H16v;H17v;exp;oid_moy;survie2017
A1C7;72;1;1;3;7;72;nat;60;34.75;55;11;0;5;;;4.8;135;16;24;24;24;6;5;0;0;;2016;16;24;24;24;6;5;;;exp;33.15;0
A1C8;71;1;1;3;8;71;nat;50;14;53;27;1;25;;;6.6;135;18.5;28;36;35;0;0;0;0;;2014;18.5;28;36;35;;;;;exp;33.8;0
A1C9;77;1;1;3;9;77;nat;20;24;88;9;0;5;80;;3.2;135;9;25;23;23;8;5;8;0;2.7;2017;9;25;23;23;8;5;8;;exp;29.2;0
A1D11;75;1;1;4;11;75;nat;10;29.25;23;11;0;25;100;10;3.2;153;8;14;22;24;24;19;34;12;5.2;vivant;8;14;22;24;24;19;34;12;exp;19.65;1
A1D12;75;1;1;4;12;75;nat;20;36.5875;30;6;1;25;;;3.9;135;17;29;34;32;10;12;7;0;1.7;2017;17;29;34;32;10;12;7;;exp;23.5175;0
A1D13;75;1;1;4;13;75;nat;20;39.7;42.5;24;0;25;;;3.3;135;7;13;15;14;0;0;0;0;;2014;7;13;15;14;;;;;exp;30.24;0
A1D14;76;1;1;4;14;76;nat;0;21;;;;;;;4.3;153;3;3;0;0;0;0;0;0;;2011;3;3;;;;;;;exp;;0
A1D15;70;1;1;4;15;70;nat;5;13.5;40;11;0;25;100;12;5.7;224;5.5;12;13;13;14;12;15;13;2.5;vivant;5.5;12;13;13;14;12;15;13;exp;18.9;1
A1D16;71;1;1;4;16;71;nat;;;;;;;;;6.2;;;;;;;;;;;g;;;;;;;;;exp;;
A1D18;9;1;1;4;18;9;nat;;;;;;;;;2.2;;;;;;;;;;;g;;;;;;;;;exp;;
A1D2;77;1;1;4;2;77;nat;;;;;;;;;5.3;;;;;;;;;;;g;;;;;;;;;exp;;
A1D20;73;1;1;4;20;73;nat;;;;;;;;;4.6;;;;;;;;;;;g;;;;;;;;;exp;;
A1D21;76;1;1;4;21;76;nat;;;;;;;;;3.2;;;;;;;;;;;g;;;;;;;;;exp;;
A1D22;11;1;1;4;22;11;nat;30;41.6;40;24;0;25;100;5;4.8;168;11;19;28;27;12;18;21;8;3.1;vivant;11;19;28;27;12;18;21;8;exp;32.12;1
A1D23;77;1;1;4;23;77;nat;30;43.9;43;17;0;25;90;15;6.3;135;13.5;39;46;50;34;40;39;36;5.9;vivant;13.5;39;46;50;34;40;39;36;exp;31.78;1
A1D24;72;1;1;4;24;72;nat;30;29.9375;14;0;0;5;50;5;3.2;135;19;32;36;35;40;40;36;10;5.9;vivant;19;32;36;35;40;40;36;10;exp;15.7875;1
A1D25;11;1;1;4;25;11;nat;10;31.5;30;0;1;50;;;5.5;135;11;24;29;29;0;0;0;0;;2014;11;24;29;29;;;;;exp;24.3;0
A1D27;73;1;1;4;27;73;nat;10;36.25;15;16;0;5;90;0;5.1;153;11.5;29;30;30;10;10;12;8;1.7;vivant;11.5;29;30;30;10;10;12;8;exp;16.45;1
A1D28;77;1;1;4;28;77;nat;;;;;;;;;2.3;;;;;;;;;;;g;;;;;;;;;exp;;
A1D29;48;1;1;4;29;48;nat;;;;;;;;;2.7;;;;;;;;;;;g;;;;;;;;;exp;;
A1D3;27;1;1;4;3;27;nat;5;34.925;42;32;1;50;;;4.6;135;17;37;38;36;0;0;0;0;;2014;17;37;38;36;;;;;exp;32.785;0
A1D30;72;1;1;4;30;72;nat;30;30.25;55;35;0;50;;;5.9;135;13.5;14;18;15;0;0;0;0;;2014;13.5;14;18;15;;;;;exp;40.05;0
