family	family_ncorr	pb_robot_SNPage	Index	Sample ID	Call Rate	Gender	p05 Grn	p50 Grn	p95 Grn	p05 Red	p50 Red	p95 Red	p10 GC	p50 GC	Rep Error Rate	PC Error Rate	PPC Error Rate	Aux	Genotype	Score	Subset	Array Info.Sentrix ID	Array Info.Sentrix Position
14	14ncorr	0	870	B00D6UC	0.9375	Unknown	1371	6351	24643	2109	11851	31804	0.4408822	0.7513669	 	0.006944444	 	0		0.00		5709351024	R01C02
7	7ncorr	0	871	B00D6UK	0.9368489	Unknown	1307	6308	24891	2084	12055	31912	0.4426695	0.7513749	 	0.006254343	 	0		0.00		5709351024	R01C03
12	12ncorr	0	872	B00D6UR	0.9420573	Unknown	1233	6321	23886	2021	11606	31479	0.4292531	0.7500434	 	0.00414651	 	0		0.00		5709351024	R01C04
4	4ncorr	0	873	B00D6UZ	0.9388021	Unknown	1326	6522	25088	2154	12409	33895	0.4346742	0.7503788	 	0.003467406	 	0		0.00		5709351030	R01C01
1	1ncorr	0	874	B00D6V7	0.9440104	Unknown	1315	6280	24800	2250	13363	33230	0.438845	0.7488763	 	0.008965517	 	0		0.00		5709351030	R01C02
98	98ncorr	0	875	B00D6VG	0.9427083	Unknown	1278	5995	23068	2131	12399	31733	0.431422	0.7503788	 	 	 	0		0.00		5709351030	R01C03
5	5ncorr	0	876	B00D6VT	0.9394531	Unknown	1218	6068	23515	2061	11976	32214	0.4386733	0.7513748	 	0.005544005	 	0		0.00		5709351030	R01C04
9	9ncorr	0	877	B00D6T9	0.9401042	Unknown	1952	8007	31572	3182	17166	40950	0.446385	0.7508068	 	0.003462604	 	0		0.00		5709351033	R02C01
14	14ncorr	0	878	B00D6TH	0.9361979	Unknown	1864	7634	31563	3248	17209	41705	0.4395271	0.7510771	 	0.009735744	 	0		0.00		5709351033	R02C02
16	16ncorr	0	879	B00D6TP	0.9348958	Unknown	1761	8008	30456	2660	14495	38113	0.4439667	0.7513669	 	0.004178273	 	0		0.00		5709351033	R02C03
5	5ncorr	0	880	B00D6TX	0.9361979	Unknown	1682	7303	29838	2792	15575	38762	0.4456665	0.7513669	 	0.0006954103	 	0		0.00		5709351033	R02C04
4	4ncorr	0	881	B00D6U5	0.9375	Unknown	1593	7176	28186	2328	13259	35080	0.4293769	0.7506427	 	0.002083333	 	0		0.00		5709351024	R02C01
1	1ncorr	0	882	B00D6UD	0.9420573	Unknown	1623	7602	29858	2606	15639	37882	0.4400331	0.7493688	 	0.007601935	 	0		0.00		5709351024	R02C02
16	16ncorr	0	883	B00D6UL	0.9329427	Unknown	1342	6201	24865	2148	12041	33688	0.4392858	0.75049	 	0.005582693	 	0		0.00		5709351024	R02C03
6	6ncorr	0	884	B00D6US	0.9316406	Unknown	1334	6543	25853	1931	11588	32063	0.44247	0.7513589	 	0.005590496	 	0		0.00		5709351024	R02C04
1	1ncorr	0	885	B00D6V0	0.9355469	Unknown	1408	6466	25187	2458	13840	36883	0.4410758	0.7493241	 	0.006958942	 	0		0.00		5709351030	R02C01
14	14ncorr	0	886	B00D6V8	0.9309896	Unknown	1332	6282	25194	2285	13253	35076	0.4467566	0.7522219	 	0.004895105	 	0		0.00		5709351030	R02C02
10	10ncorr	0	887	B00D6VH	0.9342448	Unknown	1468	7731	28842	1885	11220	31667	0.4405926	0.75049	 	0.001393728	 	0		0.00		5709351030	R02C03
7	7ncorr	0	888	B00D6VU	0.9342448	Unknown	1119	5762	22117	1943	11836	30127	0.4453417	0.7517322	 	0.005574913	 	0		0.00		5709351030	R02C04
14	14ncorr	0	889	B00D6TA	0.9420573	Unknown	1987	8083	32333	3364	17355	40376	0.4342803	0.7502677	 	0.00552868	 	0		0.00		5709351033	R03C01
3famoz_A4	A4	0	890	B00D7MI	0.9414063	Unknown	1958	9275	31878	2563	13930	34710	0.438699	0.7508479	0.00559054	 	 	0		0.00		5709351033	R03C02
1	1ncorr	0	891	B00D6TQ	0.9388021	Unknown	1605	6974	27125	2610	14841	36475	0.4463271	0.7513669	 	0.009015257	 	0		0.00		5709351033	R03C03
10	10ncorr	0	892	B00D6TY	0.9440104	Unknown	1878	8017	30069	3050	15966	38742	0.4384398	0.7503788	 	0.002758621	 	0		0.00		5709351033	R03C04
9	9ncorr	0	893	B00D6U6	0.9394531	Unknown	1525	6934	26161	2235	11899	33057	0.4406746	0.7507953	 	0.006237006	 	0		0.00		5709351024	R03C01
9	9ncorr	0	894	B00D6UE	0.9427083	Unknown	1666	7618	28958	2616	15835	38135	0.4383513	0.7506427	 	0.004834254	 	0		0.00		5709351024	R03C02
98	98ncorr	0	895	B00D6UM	0.9420573	Unknown	1403	6789	25863	2149	12908	33123	0.4395395	0.7509004	 	 	 	0		0.00		5709351024	R03C03
11	11ncorr	0	896	B00D6UT	0.9446614	Unknown	1189	6045	25350	1994	12906	32358	0.4390509	0.7507916	 	0.008270158	 	0		0.00		5709351024	R03C04
14	14ncorr	0	897	B00D6V2	0.9446614	Unknown	1461	6478	25050	2551	13830	34890	0.4340335	0.748841	 	0.004824259	 	0		0.00		5709351030	R03C01
12	12ncorr	0	898	B00D6V9	0.9407552	Unknown	1244	5553	22303	1971	10956	30293	0.4319831	0.7461171	 	0.006228374	 	0		0.00		5709351030	R03C02
15	15ncorr	0	899	B00D6VI	0.9375	Unknown	1459	6745	26257	2163	12241	31791	0.4436486	0.7508479	 	0.002777778	 	0		0.00		5709351030	R03C03
13	13ncorr	0	900	B00D6VY	0.9414063	Unknown	1128	5756	23357	1897	11104	30419	0.4405403	0.7497146	 	0.004840941	 	0		0.00		5709351030	R03C04
11	11ncorr	0	901	B00D6TB	0.9407552	Unknown	1988	8608	34480	3368	18528	42532	0.4309896	0.7509004	 	0.004844291	 	0		0.00		5709351033	R04C01
10	10ncorr	0	902	B00D6TI	0.9420573	Unknown	2032	8225	32357	3473	17683	42068	0.4413795	0.7509004	 	0.002073255	 	0		0.00		5709351033	R04C02
10	10ncorr	0	903	B00D6TR	0.9407552	Unknown	1772	7684	30270	2859	14659	37987	0.4309543	0.7513749	 	0.005536332	 	0		0.00		5709351033	R04C03
10	10ncorr	0	904	B00D6TZ	0.9446614	Unknown	1252	5802	23619	1982	11575	28169	0.4316001	0.748841	 	0.006202619	 	0		0.00		5709351033	R04C04
5	5ncorr	0	905	B00D6U8	0.9388021	Unknown	1536	6912	26616	2486	13268	35457	0.440156	0.7513669	 	0.002773925	 	0		0.00		5709351024	R04C01
9	9ncorr	0	906	B00D6UF	0.9401042	Unknown	1654	6899	27529	2652	14180	37001	0.4305507	0.7503788	 	0.003462604	 	0		0.00		5709351024	R04C02
98	98ncorr	0	907	B00D6UN	0.9388021	Unknown	1373	5989	25509	2013	10481	32060	0.4385188	0.7490826	 	 	 	0		0.00		5709351024	R04C03
11	11ncorr	0	908	B00D6UU	0.9401042	Unknown	1383	6327	25751	2436	14139	36156	0.4387526	0.7506427	 	0.002770083	 	0		0.00		5709351024	R04C04
15	15ncorr	0	909	B00D6V3	0.9361979	Unknown	1813	8509	30498	2306	11785	33356	0.4383512	0.7503788	 	0.002781641	 	0		0.00		5709351030	R04C01
11	11ncorr	0	910	B00D6VA	0.9342448	Unknown	1540	7017	29069	2622	15455	38653	0.4386841	0.7517579	 	0.006271777	 	0		0.00		5709351030	R04C02
